P38757	P38954
Q08754	P22543
Q05998	P11491
P43497	P26783
Q08217	P33748
P32485	Q12186
P38274	P09436
P40991	P20081
P25491	P26637
P42941	Q06178
P53855	P32349
P39003	P22082
P36049	P05756
P38731	P35688
P0CE91	P40963
P32904	P36046
P29340	Q02486
P40036	P14742
P0CX53	P43639
P00958	Q03730
P32378	P40586
P19881	P27351
P47110	P34244
P08067	P53839
Q12067	P53337
Q07084	P32263
P00560	P50623
P14741	P28272
P40507	Q04225
P36117	P48582
P23201	P39547
Q12417	P04819
Q03433	P06844
Q05021	P14680
P53982	Q12165
P40518	P53045
P25038	P13298
P32597	P40366
P46683	P33748
P53868	P0CD99
P32505	P54000
P36102	P17157
P52553	P25337
P15891	P54787
P36070	P40160
P40024	Q07845
P13382	P19524
P32364	P29311
Q12464	Q01852
P53507	P41338
P06784	Q05040
P08018	P39980
P53750	P40471
P07246	P43547
P32566	P07884
P29295	P17255
Q06451	P00812
Q05506	P38286
P40318	Q03218
P38629	P24870
P38877	P49723
Q06337	Q06685
Q12127	P33299
P00359	P40986
P47161	P33767
P38922	P48525
P12753	P34220
Q12412	P04806
Q08746	P0CX55
P39980	P32854
P48559	P14682
P38691	P43633
P53688	Q08949
P41277	Q03148
P04806	Q12285
P36775	P15454
P03875	P40896
P38883	Q03771
P38009	Q12424
P38239	P38890
Q07622	P10592
Q03714	P37898
P39077	P53136
Q06522	P31244
P46957	P14736
P39970	P48510
Q06151	Q06159
Q04049	P19881
P48240	Q06390
P50082	P40524
P07285	P39708
P38794	Q02199
P38273	Q05924
P38080	Q12345
P33755	P32389
P22217	P10507
P40309	Q05776
Q12280	P43563
P32527	P13298
P38970	P50623
P53877	Q12265
P38698	P38714
P39001	P50875
P32893	P11655
P22202	P30822
P0C2H7	P39927
P53127	P35189
P04037	P38013
P36158	P32854
P38075	P23500
P40107	P38837
P30402	P38197
Q12329	Q12243
P24871	P43609
Q02642	P15624
P32915	P14742
P38199	P23254
Q06512	P07884
Q07963	P10964
Q08750	Q00873
P53686	Q12161
P0C2H6	P36161
P54113	P05453
Q05123	P38082
Q07560	P25454
Q02206	Q08689
P10961	P33400
P54790	Q00684
P22219	P12754
P46784	P39954
P41695	P36023
P47119	P15801
Q00684	P48361
P38344	Q06449
P40477	P25386
P33399	Q08491
P42938	P07275
P43565	P54862
Q02630	Q06708
P33401	P16151
P36032	P40572
P38929	P28834
P35844	P14359
P32337	P25694
P40164	P40541
P27476	P36162
P53738	P40018
A2P2R3	P22855
P32660	P38130
P0CD98	P43124
Q07953	P17076
Q05040	Q07508
P0CX43	P53969
P18562	P49090
P50108	Q12300
P41901	P39083
P38791	P0C2H7
Q12404	P42943
P40529	P07259
P53867	P47042
P0CX47	O42831
P00163	P10662
P38972	P25042
P00812	P32573
P06634	Q12417
Q03455	P32191
P04710	P05749
P24869	Q04377
Q04471	P36163
P47120	P53217
Q12086	P51979
P87262	P10081
Q04867	P36052
P40574	P38699
P14359	P32563
P36018	P32288
P32480	P09734
P32378	P08465
Q08749	P53878
P05755	P22354
P05748	P33317
P53927	P32342
P40466	P40034
P38623	P22696
P38998	P38218
P48582	P27705
Q06541	P30777
P05453	P23394
P00890	P40309
Q04121	P40529
P26798	P41696
Q12024	Q04418
P25044	P42936
P54785	P40569
P22133	P53390
P38620	Q08925
P40318	P38823
P33297	Q12306
P36775	P25627
P32609	P40471
P53037	P14540
P13045	P23797
P39112	P36048
Q12251	P53273
P53145	Q06525
P42945	P13382
P13393	P0CH08
Q08902	P43635
P53254	P37297
P06844	P21560
P05744	Q04493
Q04002	P47102
P43132	Q12085
P13134	P00330
P38720	P38788
